STD_YM|GU_CD|DONG_CD|MCT_CAT_CD|DAY_CD|USE_CNT|USE_AMT
201601|65|106|17|01|14|587695
201601|65|106|17|02|35|3881654
201601|65|106|17|03|23|395231
201601|65|106|17|05|6|55165
201601|65|106|17|06|8|445531
201601|65|106|17|07|13|222765
201601|65|106|18|01|275|38299477
201601|65|106|18|02|268|67129383
201601|65|106|18|03|234|42245585
201601|65|106|18|04|225|25672190
201601|65|106|18|05|187|27614355
201601|65|106|18|06|282|70989388
201601|65|106|18|07|315|44906306
201601|65|106|19|01|2059|35711139
201601|65|106|19|02|1660|68866525
201601|65|106|19|03|1495|33300231
201601|65|106|19|04|1609|35450622
201601|65|106|19|05|1609|69294501
201601|65|106|19|06|1916|61777366
201601|65|106|19|07|2264|71981957
201601|65|106|20|01|251|5154073
201601|65|106|20|02|911|116637981
